khmer_input,robotic_command
យើងទៅមុខ ១២.០៧ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 12.07, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.៩២ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 18.92, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៥.៤៨ ម៉                                                                                             ,"{'action': 'move', 'params': {'distance': 5.48, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៩.៨៨ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 9.88, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៣.៦៣ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 3.63, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៩១ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 19.91, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ៦.៩៨ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 6.98, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៩.០៨ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 19.08, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ២.៦៨ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 2.68, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៨.០៩ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 18.09, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ២.៣៧ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 2.37, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៨៩ ម៉                                                                                             ,"{'action': 'move', 'params': {'distance': 19.89, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ៣.៨៨ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 3.88, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១៤.៣៥ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 14.35, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១២.៧៦ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 12.76, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១០.៩៩ ម                                                                                            ,"{'action': 'move', 'params': {'distance': 10.99, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ២.៩៣ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 2.93, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៣.៣១ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 3.31, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៤.០ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 14.0, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ១៦.៥១ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 16.51, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៨.០៤ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 18.04, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៩.៦៣ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 9.63, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៥.៤៩ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 5.49, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ៣.៣១ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 3.31, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៩.៦ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 19.6, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៦.៨១ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 16.81, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៩.៣ ម៉ែត                                                                                              ,"{'action': 'move', 'params': {'distance': 9.3, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៦.០៩ ម៉                                                                                               ,"{'action': 'move', 'params': {'distance': 6.09, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៩.២៦ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 19.26, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១៧.១៤ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 17.14, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ២.៨៤ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 2.84, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ៣.៣៥ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 3.35, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១.០៩ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 1.09, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.៤៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 18.45, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៧.១៧ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 7.17, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៧.៨៣ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 7.83, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.៦៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 16.65, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១០.៦ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 10.6, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៧.២៥ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 7.25, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១០.៥៣ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 10.53, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៥៧ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 19.57, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.៩២ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 8.92, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៥.៩៨ ម៉                                                                                             ,"{'action': 'move', 'params': {'distance': 15.98, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១៤.២១ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 14.21, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៥.៣៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 15.38, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ៧.២ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 7.2, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ៦.៩៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 6.95, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៨.៧២ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 8.72, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៣.៥៤ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 3.54, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៣.០៥ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 13.05, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.០ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 18.0, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៩.៨៦ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 9.86, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.២ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 8.2, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ៩.៩៩ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 9.99, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១២.៣១ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 12.31, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៧.៦៦ ម៉                                                                                               ,"{'action': 'move', 'params': {'distance': 7.66, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៩.៩២ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 9.92, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ៦.៤៦ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 6.46, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ១៥.១៧ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 15.17, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១.២ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 1.2, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ៧.១២ ម៉ែត                                                                                               ,"{'action': 'move', 'params': {'distance': 7.12, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៥.៨ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 15.8, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ១២.០១ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 12.01, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៨.៥៩ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 8.59, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ២.១៣ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 2.13, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ១០.៩ ម៉ែត                                                                                               ,"{'action': 'move', 'params': {'distance': 10.9, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៩.០ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 9.0, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ១៦.៦៦ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 16.66, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១២.០៤ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 12.04, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៣.៦១ ម៉ែត                                                                                              ,"{'action': 'move', 'params': {'distance': 13.61, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១១.៥៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 11.58, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៤.២៣ ម៉                                                                                                ,"{'action': 'move', 'params': {'distance': 14.23, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៨.៦៧ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 18.67, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៩.៨៣ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 9.83, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៨.២២ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 8.22, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.២៣ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 8.23, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១៤.៨៧ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 14.87, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៨.៨៧ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 8.87, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៨.៤៤ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 18.44, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៥.៩៥ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 5.95, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១១.០ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 11.0, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ១១.៩៣ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 11.93, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៤.៤៥ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 14.45, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៣.៤ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 13.4, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ១.៩៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 1.98, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ៥.៦៦ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 5.66, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ២.០២ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 2.02, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៤.៩៤ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 4.94, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១២.៩ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 12.9, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៣.៩៥ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 3.95, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៣.៧២ ម៉ែត                                                                                          ,"{'action': 'move', 'params': {'distance': 13.72, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៨.៣ ម                                                                                             ,"{'action': 'move', 'params': {'distance': 18.3, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៦.៩ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 16.9, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៧.២៥ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 7.25, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ៩.៣៦ ម៉ែត្រ                                                                                              ,"{'action': 'move', 'params': {'distance': 9.36, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៥.៥៤ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 15.54, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៥.៨២ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 5.82, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៣.០៧ ម៉ែត                                                                                              ,"{'action': 'move', 'params': {'distance': 13.07, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១២.៥៣ ម៉                                                                                             ,"{'action': 'move', 'params': {'distance': 12.53, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៥.៦៣ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 15.63, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១០.៨៦ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 10.86, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៦.៦៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 16.68, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១៩.១៩ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 19.19, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.១៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 18.15, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៦.៧៧ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 16.77, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៨.៥១ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 18.51, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ៧.៩១ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 7.91, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១២.១៥ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 12.15, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១០.០ ម៉ែត                                                                                               ,"{'action': 'move', 'params': {'distance': 10.0, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ២.៥៦ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 2.56, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១០.៦៥ ម៉ែត                                                                                          ,"{'action': 'move', 'params': {'distance': 10.65, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៣.៥៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 13.55, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ៦.២២ ម៉ែត                                                                                               ,"{'action': 'move', 'params': {'distance': 6.22, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៩.៤៦ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 9.46, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ១២.០៤ ម៉                                                                                                ,"{'action': 'move', 'params': {'distance': 12.04, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១៨.៩៤ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 18.94, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៤.២ ម៉                                                                                                ,"{'action': 'move', 'params': {'distance': 4.2, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៧.០ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 7.0, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៥.១១ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 15.11, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.៤ ម                                                                                               ,"{'action': 'move', 'params': {'distance': 8.4, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៤.៥២ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 4.52, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៣.២៥ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 3.25, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៥.៥៦ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 15.56, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១.៧៥ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 1.75, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៨.៧៨ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 18.78, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៥.៤៣ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 5.43, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៤.២៥ ម៉                                                                                            ,"{'action': 'move', 'params': {'distance': 14.25, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៣.៥៦ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 3.56, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ៤.៩១ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 4.91, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៨.៥ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 8.5, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១២.៥១ ម៉ែត                                                                                          ,"{'action': 'move', 'params': {'distance': 12.51, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១.៥៨ ម                                                                                              ,"{'action': 'move', 'params': {'distance': 1.58, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១២.៩៥ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 12.95, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១១.២៦ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 11.26, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៩.៥១ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 19.51, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១២.០៦ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 12.06, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៩.៩២ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 9.92, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ៧.៨២ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 7.82, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១៨.៨៤ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 18.84, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៣.៤១ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 3.41, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ២.៦៧ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 2.67, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ៦.០៦ ម៉                                                                                               ,"{'action': 'move', 'params': {'distance': 6.06, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១១.៧៨ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 11.78, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១៩.៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 19.8, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ៥.០៤ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 5.04, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ១.២ ម៉ែត                                                                                              ,"{'action': 'move', 'params': {'distance': 1.2, 'is_forward': False, 'unit': 'meter'}}"
